No,°üÃø¼Ò¸í,°üÃø½Ã°£,À¯¼Ó(Kn & cm/s),À¯Çâ(¢ª),À¯Çâ16¹æÀ§,,,,,,,
265,»ó¿Õµîµµ,2024-05-14 20:10,.35 & 18.2,282,¼­ºÏ¼­,,,,,,,
266,»ó¿Õµîµµ,2024-05-14 20:20,.37 & 19.2,278,¼­,,,,,,,
267,»ó¿Õµîµµ,2024-05-14 20:30,.42 & 21.7,281,¼­,,,,,,,
268,»ó¿Õµîµµ,2024-05-14 20:40,.36 & 18.7,283,¼­ºÏ¼­,,,,,,,
269,»ó¿Õµîµµ,2024-05-14 20:50,.55 & 28.2,266,¼­,,,,,,,
270,»ó¿Õµîµµ,2024-05-14 21:00,.54 & 27.8,267,¼­,,,,,,,
271,»ó¿Õµîµµ,2024-05-14 21:10,.52 & 26.5,267,¼­,,,,,,,
272,»ó¿Õµîµµ,2024-05-14 21:20,.57 & 29.2,260,¼­,,,,,,,
273,»ó¿Õµîµµ,2024-05-14 21:30,.51 & 26.3,264,¼­,,,,,,,
274,»ó¿Õµîµµ,2024-05-14 21:40,.51 & 26.4,268,¼­,,,,,,,
275,»ó¿Õµîµµ,2024-05-14 21:50,.6 & 30.9,255,¼­³²¼­,,,,,,,
276,»ó¿Õµîµµ,2024-05-14 22:00,.58 & 29.6,254,¼­³²¼­,,,,,,,
277,»ó¿Õµîµµ,2024-05-14 22:10,.58 & 29.6,250,¼­³²¼­,,,,,,,
278,»ó¿Õµîµµ,2024-05-14 22:20,.6 & 31,243,¼­³²¼­,,,,,,,
279,»ó¿Õµîµµ,2024-05-14 22:30,.65 & 33.3,244,¼­³²¼­,,,,,,,
280,»ó¿Õµîµµ,2024-05-14 22:40,.56 & 28.9,243,¼­³²¼­,,,,,,,
281,»ó¿Õµîµµ,2024-05-14 22:50,.53 & 27.1,240,¼­³²¼­,,,,,,,
282,»ó¿Õµîµµ,2024-05-14 23:00,.58 & 29.7,237,¼­³²¼­,,,,,,,
283,»ó¿Õµîµµ,2024-05-14 23:10,.55 & 28.2,228,³²¼­,,,,,,,
284,»ó¿Õµîµµ,2024-05-14 23:20,.57 & 29.4,221,³²¼­,,,,,,,
285,»ó¿Õµîµµ,2024-05-14 23:30,.63 & 32.2,223,³²¼­,,,,,,,
286,»ó¿Õµîµµ,2024-05-14 23:40,.6 & 30.7,223,³²¼­,,,,,,,
287,»ó¿Õµîµµ,2024-05-14 23:50,.62 & 32,217,³²¼­,,,,,,,
